Sector,Company Name,Company Number,Region,Year Start Date,Year End Date,Number of Weeks,Number of Months,Currency,Consolidated Account,Turnover,Export,Cost of Sales,Gross Profit,Wages and Salaries,Directors Remuneration,Operating Profit,Depreciation,Audit Fees,Interest Expense,Profit Before Tax,Taxation,Profit After Tax,Dividends,Retained Profit,Tangible Assets,Intangible Assets,Total Fixed Assets,Total Current Assets,Trade Debtors,Stock,Cash,Other Current Assets,Increase in Cash,Misc Current Assets,Total Assets,Total Current Liabilities,Trade Creditors,Bank Borrowings Current,Other Short Term Finance,Misc Current Liabilities,Other Long Term Finance,Total Long Term Liabilities,Bank Overdraft and LTL,Total Liabilities,Net Assets,Working Capital,Issued Share Capital,Revenue Reserves,Other Reserves,Revaluation Reserve,Total Shareholders Equity,Net Worth,Net Cash Flow from Operations,Net Cash Flow Before Financing,Net Cash Flow from Financing,Contingent Liabilities,Capital Employed,Capital Employed,Estimated Turnover AI,EBITDA,,Currrent Ratio,ICR,
Defence,GARDNER AEROSPACE - CONSETT LIMITED,10130324,East Midlands,01/01/2023,31/12/2023,52,12,GBP,N,40467000,959000,35821000,4646000,7790000,,2900000,1751000,,1488000,2253000,-591000,1662000,,1662000,19430000,,19430000,39658000,7429000,5092000,188000,26949000,,,59088000,14984000,3496000,300000,8340000,2848000,17397000,17397000,17697000,32381000,26707000,24674000,,2940000,23767000,,26707000,26707000,,,,,44104000,159,,5492000,,3.9434063,0.04,0.366524293
Defence,TRIG AVIONICS LIMITED,SC261888,Scotland,01/01/2023,31/12/2023,52,12,GBP,Y,6513872,,4033727,2480145,,,-765687,65280,,19447,-785027,-2397,-787424,,-787424,102139,,102139,2467050,615292,1597089,106132,148537,,,2569189,1928759,1612078,34215,,282466,,271929,306144,2200688,368501,538291,223729,-1434216,1578988,,368501,368501,,,,,640430,34,,-700300,,1.332042521,-0.36,-0.363083205
Defence,BROADWAY ENGINEERING LIMITED,400926,South West,01/05/2024,30/04/2025,52,12,GBP,N,12405783,,8556175,3849608,3916171,225542,860108,495588,10800,151198,723571,-58049,665522,,665522,1590496,993,1591489,11104788,4023991,3692043,850396,2538358,,,12696277,3172175,992300,,1006565,1173310,42951,,440823,3612998,9083279,7932613,911,9081393,975,,9083279,9082286,,,,,9524102,95,,1372355,,4.002388582,0.09,0.432622727
Defence,NASMYTH HENTON LIMITED,6453721,West Midlands,02/05/2023,30/04/2024,52,12,GBP,N,6951000,,6140000,811000,,,146000,199000,,196000,-50000,-73000,-123000,,-123000,686000,,686000,3325000,1739000,1019000,,567000,,,4011000,2315000,816000,898000,143000,458000,1162000,1162000,2060000,3477000,534000,1010000,500000,-883000,917000,,534000,534000,,,,31783000,1696000,44,,345000,,1.732613391,0.02,0.149028078
Defence,SUPACAT LIMITED,1514084,South West,02/09/2023,31/08/2024,52,12,GBP,N,58123996,2889438,48542481,9581515,6641954,419570,3768518,449716,72295,95665,3883283,-691463,3191820,,3191820,2379907,8244047,10623954,24337969,9296190,7564706,4468708,3008365,,,34961923,12155323,3998071,315546,1024416,6817290,189903,4099928,4415474,16255251,18706672,12182646,1500000,17206672,,,18706672,10462625,,,,,22806600,139,,5392245,,2.876264415,0.56,0.443611823
Defence,NASMYTH BULWELL LIMITED,568879,West Midlands,02/05/2023,30/04/2024,52,12,GBP,N,21459000,,19465000,1994000,7687000,,162000,599000,18000,751000,-589000,14000,-575000,,-575000,2491000,,2491000,12493000,7127000,4861000,9000,496000,,,14984000,11771000,3339000,5547000,589000,2296000,4623000,4623000,10170000,16394000,-1410000,722000,750000,-2160000,,,-1410000,-1410000,,,,1237000,3213000,179,,789000,,1.272958967,0.01,0.067029139
Defence,AVICA AEROSPACE DUCTING LIMITED,12860653,North West,02/01/2024,31/12/2024,52,12,GBP,N,17710420,,14429946,3280474,5823133,,1664762,152188,45206,183328,1481434,-605143,876291,,876291,878729,160569,1039298,11136452,4325778,4766893,1644090,399691,,,12175750,4260114,1526751,1304036,583139,846188,,294519,1598555,4554633,7621117,6876338,1,-196870,7817986,,7621117,7460548,,,,,7915636,103,,1993572,,2.858080793,0.11,0.467962125
Defence,SLINGSBY ADVANCED COMPOSITES LIMITED,1688938,Yorkshire And The Humber,02/01/2024,31/12/2024,52,12,GBP,N,15311183,2850826,5610762,9700421,5417144,674533,,230750,67000,,2233979,-49399,2184580,,2184580,4744926,,4744926,10878331,1281554,2896087,7959,6692731,,,15623257,5939057,435867,17119,254093,5231978,,384379,401498,6323436,9299821,4939274,1000000,8299821,,,9299821,9299821,,,,,9684200,106,,2464729,,2.630595564,#DIV/0!,0.415003426
Defence,GARDNER AEROSPACE - DERBY LIMITED,3563546,East Midlands,01/01/2023,31/12/2023,52,12,GBP,N,54818000,15726000,53753000,1065000,7619000,,-3688000,881000,,1726000,-5414000,1345000,-4069000,,-4069000,6141000,1631000,7772000,31797000,14106000,12688000,,5003000,,,39569000,24700000,3010000,440000,19695000,1555000,17582000,18201000,18641000,42901000,-3332000,7097000,,-6327000,2995000,,-3332000,-4963000,,,,,14869000,164,,230000,,1.601983806,0.00,0.009311741
Digital&Technologies,EGNARO LIMITED,7395042,London,02/11/2023,31/10/2024,52,12,GBP,N,20519032,,14613028,5906004,2851737,,1523594,187615,8491,37326,1496663,-375581,1121082,657157,463925,950005,555972,1505977,2540324,648,478072,873698,1187906,-454493,,4046301,2417900,932827,140000,,1345073,,347452,487452,2765352,1280949,122424,100,1170849,110000,,1280949,724977,1632741,-314493,-140000,,1628401,92,,1905226,,1.673477398,0.51,0.787967244
